Time,Queue Size,Packet Loss,Link Utilization,Global Sync Detected,Average Queue Depth,Times Problem Detected,Average Time Difference between Problem,Variance of Time Difference
323,198,15,100.000000,0.000000,0.000000,2,133002.000000,-1.000000
324,191,15,100.000000,0.000000,0.000000,2,133002.000000,-1.000000
325,186,15,100.000000,0.000000,0.000000,2,133002.000000,-1.000000
326,181,15,100.000000,0.000000,0.000000,2,133002.000000,-1.000000
327,179,15,100.000000,0.000000,0.000000,2,133002.000000,-1.000000
328,179,15,100.000000,0.000000,0.000000,2,133002.000000,-1.000000
329,181,15,100.000000,0.000000,0.000000,2,133002.000000,-1.000000
330,181,15,100.000000,0.000000,0.000000,2,133002.000000,-1.000000
331,181,16,100.000000,1.000000,0.000000,3,94502.500000,494070496.000000
332,150,16,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
333,122,16,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
334,97,16,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
335,78,16,97.000000,0.000000,0.000000,3,94502.500000,494070496.000000
336,81,16,78.000000,0.000000,0.000000,3,94502.500000,494070496.000000
337,84,16,81.000000,0.000000,0.000000,3,94502.500000,494070496.000000
338,87,16,84.000000,0.000000,0.000000,3,94502.500000,494070496.000000
339,90,16,87.000000,0.000000,0.000000,3,94502.500000,494070496.000000
340,93,16,90.000000,0.000000,0.000000,3,94502.500000,494070496.000000
341,96,16,93.000000,0.000000,0.000000,3,94502.500000,494070496.000000
342,99,16,96.000000,0.000000,0.000000,3,94502.500000,494070496.000000
343,102,16,99.000000,0.000000,0.000000,3,94502.500000,494070496.000000
344,106,16,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
345,112,16,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
346,120,16,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
347,130,16,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
348,142,16,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
349,156,16,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
350,172,16,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
351,188,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
352,169,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
353,153,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
354,140,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
355,130,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
356,123,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
357,119,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
358,118,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
359,120,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
360,125,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
361,133,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
362,144,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
363,158,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
364,174,17,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
365,192,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
366,178,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
367,166,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
368,156,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
369,148,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
370,142,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
371,138,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
372,136,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
373,136,18,100.000000,0.000000,0.000000,3,94502.500000,494070496.000000
